order_id,user_id,create_time,product_type,amount,is_paid,is_refunded,channel
46,24,2026-08-08 08:10:00,酒店预订,305.6,1,0,微信分享裂变
47,24,2026-08-11 22:51:00,景点门票,137.09,1,0,微信分享裂变
48,24,2026-08-17 12:00:00,景点门票,54.31,1,0,微信分享裂变
49,24,2026-08-29 15:11:00,一日游套餐,418.7,1,0,微信分享裂变
127,66,2026-08-19 13:01:00,景点门票,122.92,1,0,抖音信息流
425,223,2026-08-12 22:04:00,景点门票,126.36,0,0,小红书种草
426,223,2026-08-13 11:24:00,一日游套餐,260.63,1,0,小红书种草
496,264,2026-08-27 15:34:00,一日游套餐,283.75,0,0,自然流量
497,264,2026-08-29 09:48:00,酒店预订,348.32,1,0,自然流量
634,350,2026-07-30 10:07:00,景点门票,150.86,1,0,自然流量
847,458,2026-07-18 18:59:00,景点门票,144.48,1,0,抖音信息流
858,466,2026-07-18 16:16:00,景点门票,58.69,0,0,小红书种草
859,466,2026-08-23 17:49:00,一日游套餐,321.13,1,0,小红书种草
860,466,2026-08-30 14:17:00,景点门票,53.57,1,0,小红书种草
861,466,2026-08-30 11:46:00,景点门票,96.32,0,0,小红书种草
882,484,2026-07-21 21:26:00,景点门票,80.77,1,0,抖音信息流
883,484,2026-07-25 15:20:00,酒店预订,367.35,1,0,抖音信息流
886,488,2026-06-20 12:06:00,酒店预订,564.83,1,0,自然流量
941,519,2026-08-02 14:16:00,景点门票,81.8,1,0,自然流量
942,519,2026-08-04 17:55:00,一日游套餐,317.28,1,0,自然流量
943,519,2026-08-08 14:49:00,酒店预订,532.08,0,0,自然流量
944,519,2026-08-09 10:38:00,酒店预订,465.35,0,0,自然流量
945,519,2026-08-12 18:03:00,景点门票,77.17,1,0,自然流量
946,519,2026-08-12 09:17:00,酒店预订,419.34,1,0,自然流量
1010,555,2026-07-05 13:14:00,一日游套餐,397.23,1,0,自然流量
1011,555,2026-08-29 10:33:00,一日游套餐,427.91,0,0,自然流量
1093,602,2026-08-16 08:48:00,酒店预订,370.02,0,0,微信分享裂变
1175,648,2026-06-27 22:01:00,景点门票,64.72,0,0,抖音信息流
1176,648,2026-07-11 14:38:00,景点门票,145.69,1,0,抖音信息流
1241,683,2026-06-29 07:54:00,酒店预订,351.88,1,0,自然流量
1242,683,2026-07-01 21:51:00,景点门票,168.96,0,0,自然流量
1243,683,2026-07-04 11:52:00,一日游套餐,292.97,1,0,自然流量
1267,697,2026-07-15 14:34:00,酒店预订,420.97,1,0,小红书种草
1268,697,2026-07-15 08:33:00,景点门票,177.48,1,0,小红书种草
1394,764,2026-06-12 20:58:00,景点门票,85.97,1,0,自然流量
1395,764,2026-06-24 10:33:00,景点门票,47.78,1,0,自然流量
1396,764,2026-07-11 10:46:00,酒店预订,412.8,0,0,自然流量
1456,795,2026-07-13 11:13:00,一日游套餐,277.44,1,1,自然流量
1489,812,2026-07-05 07:41:00,景点门票,173.12,1,0,自然流量
1490,812,2026-07-29 07:22:00,酒店预订,380.34,0,0,自然流量
1593,867,2026-08-03 18:00:00,酒店预订,490.15,1,0,微信分享裂变
1594,867,2026-08-06 19:00:00,一日游套餐,270.28,1,0,微信分享裂变
1595,867,2026-08-08 11:32:00,酒店预订,257.41,1,0,微信分享裂变
1619,880,2026-06-10 16:53:00,景点门票,136.0,1,0,小红书种草
1620,880,2026-06-17 11:37:00,景点门票,75.76,0,0,小红书种草
1621,880,2026-06-17 07:54:00,一日游套餐,262.77,1,0,小红书种草
1799,1003,2026-07-29 14:53:00,酒店预订,433.02,1,0,自然流量
1816,1018,2026-07-23 22:02:00,景点门票,155.01,1,0,微信分享裂变
1817,1018,2026-08-24 08:59:00,酒店预订,580.04,1,1,微信分享裂变
1839,1035,2026-07-05 23:06:00,景点门票,106.46,1,0,抖音信息流
1848,1043,2026-08-08 11:08:00,景点门票,87.4,1,0,小红书种草
1852,1045,2026-07-28 19:36:00,一日游套餐,356.73,0,0,自然流量
1853,1045,2026-07-28 14:42:00,景点门票,177.86,1,0,自然流量
1875,1056,2026-07-16 16:27:00,景点门票,48.5,0,0,小红书种草
1882,1062,2026-08-09 19:56:00,酒店预订,457.12,1,0,小红书种草
1883,1062,2026-08-25 15:29:00,酒店预订,316.7,0,0,小红书种草
1884,1062,2026-08-29 21:34:00,一日游套餐,342.56,1,0,小红书种草
1905,1075,2026-07-13 07:40:00,酒店预订,551.53,1,0,微信分享裂变
1906,1075,2026-07-13 20:30:00,景点门票,88.11,1,0,微信分享裂变
1907,1075,2026-07-16 18:21:00,景点门票,128.3,1,0,微信分享裂变
1908,1075,2026-07-16 08:32:00,景点门票,86.77,1,0,微信分享裂变
1909,1075,2026-08-15 23:02:00,一日游套餐,200.14,1,0,微信分享裂变
1910,1075,2026-08-31 19:09:00,景点门票,75.09,0,0,微信分享裂变
1911,1076,2026-07-15 07:57:00,酒店预订,369.17,0,0,抖音信息流
1912,1076,2026-08-25 20:35:00,酒店预订,294.04,1,0,抖音信息流
1999,1124,2026-07-22 17:25:00,景点门票,45.79,1,0,自然流量
2036,1145,2026-07-14 16:11:00,酒店预订,341.67,0,0,抖音信息流
2037,1145,2026-08-29 21:20:00,景点门票,70.89,0,0,抖音信息流
2371,1323,2026-06-26 12:35:00,景点门票,123.34,1,0,自然流量
2372,1323,2026-07-17 17:50:00,酒店预订,219.76,1,0,自然流量
